name,gender,age,class,fare,group,joined,job,boat,survival
"ALLEN, Miss Elisabeth Walton",1,29,1,211,,Southampton,,2,1
"ALLISON, Mr Hudson Joshua Creighton",0,30,1,151,,Southampton,Businessman,,0
"ALLISON, Mrs Bessie Waldo",1,25,1,151,,Southampton,,,0
"ALLISON, Miss Helen Loraine",1,2,1,151,,Southampton,,,0
"ALLISON, Master Hudson Trevor",0,1,1,151,,Southampton,,11,1
"ANDERSON, Mr Harry",0,47,1,26,,Southampton,Stockbroker,3,1
"ANDREWS, Miss Kornelia Theodosia",1,62,1,77,,Cherbourg,,10,1
"ANDREWS, Mr Thomas",0,39,1,NA,H&W Guarantee Group,Belfast,Shipbuilder,,0
"APPLETON, Mrs Charlotte",1,53,1,51,,Southampton,,D,1
"ARTAGAVEYTIA, Mr Ramon",0,71,1,49,,Cherbourg,Businessman,,0
"ASTOR, Colonel John Jacob",0,47,1,247,,Cherbourg,Property Developer / Real Estate,,0
"ASTOR, Mrs Madeleine Talmage",1,18,1,247,,Cherbourg,,4,1
"AUBART, Mme. L?ontine Pauline",0,24,1,69,,Cherbourg,Singer,9,1
"BARBER, Miss Ellen ""Nellie""",1,26,1,78,Servant,Southampton,Personal Maid,6,1
"BARKWORTH, Mr Algernon Henry",0,47,1,30,,Southampton,Justice of the Peace,B,1
"BAUMANN, Mr John D.",0,60,1,25,,Cherbourg,Businessman,,0
"BAXTER, Mrs H?l?ne",1,50,1,247,,Cherbourg,,6,1
"BAXTER, Mr Quigg Edmond",0,24,1,247,,Cherbourg,,,0
"BAZZANI, Mrs Albina",1,36,1,76,Servant,Cherbourg,Personal Maid,8,1
"BEATTIE, Mr Thomson",0,36,1,75,,Southampton,Landowner,A,1
"BECKWITH, Mr Richard Leonard",0,37,1,52,,Southampton,,5,1
"BECKWITH, Mrs Sallie",1,46,1,52,,Southampton,,5,1
"BEHR, Mr Karl Howell",0,26,1,30,,Cherbourg,,5,1
"BESSETTE, Miss Nellie Mayo",1,39,1,63,Servant,Cherbourg,Personal Maid,8,1
"BIDOIS, Miss Rosalie",1,46,1,247,Servant,Cherbourg,Personal Maid,4,1
"BIRD, Miss Ellen",1,31,1,221,Servant,Southampton,Personal Maid,8,1
"BIRNBAUM, Mr Jakob",0,24,1,26,,Cherbourg,,,0
"BISHOP, Mr Dickinson H.",0,25,1,91,,Cherbourg,,7,1
"BISHOP, Mrs Helen",1,19,1,91,,Cherbourg,,7,1
"BJ?RNSTR?M-STEFFANSSON, Mr Mauritz H?kan",0,28,1,26,,Southampton,Businessman,D,1
"BLACKWELL, Mr Stephen Weart",0,45,1,35,,Southampton,,,0
"BLANK, Mr Henry",0,39,1,31,,Cherbourg,Jeweller,7,1
"BONNELL, Miss Caroline",1,30,1,164,,Southampton,,8,1
"BONNELL, Miss Elizabeth",1,61,1,26,,Southampton,,8,1
"BOREBANK, Mr John James",0,42,1,26,,Southampton,Property Developer / Real Estate,,0
"BOWEN, Miss Grace Scott",1,45,1,262,Servant,Cherbourg,Governess,4,1
"BOWERMAN, Miss Elsie Edith",1,22,1,55,,Southampton,,6,1
"BRADY, Mr John Bertram",0,41,1,30,,Southampton,,,0
"BRANDEIS, Mr Emil",0,48,1,50,,Cherbourg,,,0
"BRERETON, Mr George Andrew",0,37,1,26,,Southampton,,9,1
"BREWE, Dr Arthur Jackson",0,45,1,39,,Cherbourg,,,0
"BROWN, Mrs Caroline Lane",1,59,1,51,,Southampton,,D,1
"BROWN, Mrs Margaret",1,44,1,27,,Cherbourg,,6,1
"BUCKNELL, Mrs Emma Eliza",1,59,1,76,,Cherbourg,,8,1
"BURNS, Miss Elizabeth Margaret",1,41,1,134,Servant,Cherbourg,Nursemaid,3,1
"BUTT, Major Archibald Willingham",0,46,1,26,,Southampton,Military,,0
"CAIRNS, Mr Alexander",0,NA,1,31,Servant,Southampton,Servant,,0
"CALDERHEAD, Mr Edward Pennington",0,42,1,26,,Southampton,,5,1
"CANDEE, Mrs Helen Churchill",1,52,1,27,,Cherbourg,,6,1
"CARDEZA, Mrs Charlotte Wardle",1,58,1,512,,Cherbourg,,3,1
"CARDEZA, Mr Thomas Drake Martinez",0,36,1,512,,Cherbourg,Gentleman,3,1
"CARLSSON, Mr Frans Olof",0,33,1,5,,Southampton,,,0
"CARRAU, Mr Francisco M.",0,31,1,47,,Southampton,,,0
"CARRAU, Mr Jos? Pedro",0,17,1,47,,Southampton,,,0
"CARTER, Mr William Ernest",0,36,1,120,,Southampton,,C,1
"CARTER, Mrs Lucile",1,36,1,120,,Southampton,,4,1
"CARTER, Miss Lucile Polk",1,13,1,120,,Southampton,,4,1
"CARTER, Master William Thornton II",0,11,1,120,,Southampton,,4,1
"CASE, Mr Howard Brown",0,49,1,26,,Southampton,,,0
"CASSEBEER, Mrs Eleanor Genevieve",1,36,1,27,,Cherbourg,,5,1
"CAVENDISH, Mr Tyrell William",0,36,1,78,,Southampton,,,0
"CAVENDISH, Mrs Julia Florence",1,25,1,78,,Southampton,,6,1
"CHAFFEE, Mr Herbert Fuller",0,46,1,61,,Southampton,,,0
"CHAFFEE, Mrs Carrie Constance",1,47,1,61,,Southampton,,4,1
"CHAMBERS, Mr Norman Campbell",0,27,1,53,,Southampton,,5,1
"CHAMBERS, Mrs Bertha",1,32,1,53,,Southampton,,5,1
"CHAUDANSON, Miss Victorine",1,36,1,262,Servant,Cherbourg,Personal Maid,4,1
"CHERRY, Miss Gladys",1,30,1,86,,Southampton,Of Independent Means,8,1
"CHEVR?, Mr Paul Romaine Marie L?once",0,45,1,29,,Cherbourg,Sculptor,7,1
"CHIBNALL, Mrs Edith Martha Bowerman",1,48,1,55,,Southampton,Of Independent Means,6,1
"CHISHOLM, Mr Roderick Robert Crispin",0,40,1,NA,H&W Guarantee Group,Belfast,Draughtsman,,0
"CLARK, Mr Walter Miller",0,27,1,136,,Cherbourg,,,0
"CLARK, Mrs Virginia Estelle",1,26,1,136,,Cherbourg,,4,1
"CLEAVER, Miss Alice Catherine",1,22,1,151,Servant,Southampton,Nursemaid,11,1
"CLIFFORD, Mr George Quincy",0,40,1,52,,Southampton,,,0
"COLLEY, Mr Edward Pomeroy",0,37,1,25,,Southampton,,,0
"COMPTON, Mrs Mary Eliza",1,64,1,83,,Cherbourg,,14,1
"COMPTON, Miss Sara Rebecca",1,39,1,83,,Cherbourg,,14,1
"COMPTON, Mr Alexander Taylor jr",0,37,1,83,,Cherbourg,,,0
"CORNELL, Mrs Malvina Helen",1,55,1,25,,Southampton,,2,1
"CRAFTON, Mr John Bertram",0,59,1,26,,Southampton,Businessman,,0
"CROSBY, Captain Edward Gifford",0,70,1,71,,Southampton,,,0
"CROSBY, Mrs Catherine Elizabeth",1,64,1,71,,Southampton,,7,1
"CROSBY, Miss Harriette Rebecca",1,39,1,26,,Southampton,,7,1
"CUMINGS, Mr John Bradley",0,39,1,71,,Cherbourg,,,0
"CUMINGS, Mrs Florence Briggs",1,35,1,71,,Cherbourg,,4,1
"DALY, Mr Peter Dennis",0,51,1,26,,Southampton,Businessman,5,1
"DANIEL, Mr Robert Williams",0,27,1,30,,Southampton,,3,1
"DANIELS, Miss Sarah",1,33,1,151,Servant,Southampton,Personal Maid,8,1
"DAVIDSON, Mr Thornton",0,31,1,52,,Cherbourg,,,0
"DAVIDSON, Mrs Orian",1,27,1,52,,Cherbourg,,3,1
"DICK, Mr Albert Adrian",0,31,1,57,,Southampton,,3,1
"DICK, Mrs Vera",1,17,1,57,,Southampton,,3,1
"DODGE, Dr Washington",0,52,1,81,,Southampton,Politician,13,1
